imagelink,imagelink-href,title,artist,country,height,width,price,views,favorites,subject,mediums,date
"The wave - abstract landscape","https://www.saatchiart.com/art/Painting-The-wave-abstract-landscape/20453/3072094/view","The wave - abstract landscape","Fabienne Monestier","France","7","7","140","563","40","Landscape","Oil","1420070400000"
"Cacti","https://www.saatchiart.com/art/Painting-Cacti/403380/3414955/view","Cacti","A N T O N","Ukraine","15","11","170","154","8","Nature","Oil, Acrylic","1483228800000"
"it's too high!!!","https://www.saatchiart.com/art/Painting-it-s-too-high/896632/3225895/view","it's too high!!!","Sarah Flanagan","United Kingdom","19","16","290","579","9","Cats","Watercolor","1451606400000"
"Ear in grey / Oreja en gris","https://www.saatchiart.com/art/Painting-Ear-in-grey-Oreja-en-gris/8221/3284727/view","Ear in grey / Oreja en gris","Desdibujando Cristina Martel","Spain","6","5","195","187","8","Body","Acrylic, Pencil","1451606400000"
"Thermo-scape","https://www.saatchiart.com/art/Painting-Thermo-scape/857373/2864965/view","Thermo-scape","Fuller Lebon","United States","8","10","280","431","27","Architecture","Acrylic, Ink, Gesso","1451606400000"
"A New Beginning","https://www.saatchiart.com/art/Painting-A-New-Beginning/854380/3407623/view","A New Beginning","Lucy Moore","United Kingdom","22","18","305","169","30","Abstract","Acrylic","1483228800000"
"Winter Moon","https://www.saatchiart.com/art/Painting-Winter-Moon/710107/3448879/view","Winter Moon","Tatiana Iliina","Canada","10","8","150","160","10","Landscape","Acrylic","1483228800000"
"Hello Smiley","https://www.saatchiart.com/art/Painting-Hello-Smiley/936658/3300320/view","Hello Smiley","Brian Wiggins","United States","14","11","285","2016","22","Geometric","Gouache","1451174400000"
"The Chink of Saturn","https://www.saatchiart.com/art/Painting-The-Chink-of-Saturn/886634/3425601/view","The Chink of Saturn","James Waller","Ireland","10","12","220","170","20","Landscape","Oil","1420070400000"
"19mm x 50m 4","https://www.saatchiart.com/art/Painting-19mm-x-50m-4/126029/2047487/view","19mm x 50m 4","Dragomir Misina","United Kingdom","4","4","190","1310","13","Abstract","Acrylic","1398902400000"
"my own skies","https://www.saatchiart.com/art/Painting-my-own-skies/788128/2470650/view","my own skies","Dmitriy Yakovenko","Ukraine","7","7","135","1448","74","Nature","Oil","1428969600000"
"Branches and Cloudy Blue Sky","https://www.saatchiart.com/art/Painting-Branches-and-Cloudy-Blue-Sky/872500/3071111/view","Branches and Cloudy Blue Sky","Clifford Palmer","United Kingdom","16","12","215","494","20","Landscape","Oil","1388534400000"
"#62 of 100paintings project","https://www.saatchiart.com/art/Painting-62-of-100paintings-project/792144/3026664/view","#62 of 100paintings project","Elyce Abrams","United States","12","12","290","506","14","Abstract","Acrylic","1451606400000"
"Venice Harbor, original oil painting, handmade art, one of a kind","https://www.saatchiart.com/art/Painting-Venice-Harbor-original-oil-painting-handmade-art-one-of-a-kind/503607/3499621/view","Venice Harbor, original oil painting, handmade art, one of a kind","Vahe Yeremyan","United States","14","14","295","189","21","Architecture","Oil","1483228800000"
"Mother and child","https://www.saatchiart.com/art/Painting-Mother-and-child/414587/3402190/view","Mother and child","muriel boer","Netherlands","3","3","185","324","9","Beach","Acrylic","1483228800000"
"Landscape #2","https://www.saatchiart.com/art/Painting-Landscape-2/469769/3050306/view","Landscape #2","Anthony Shechtman","United States","5","7","240","139","10","Landscape","Oil","1451606400000"
"Dreamscape No4","https://www.saatchiart.com/art/Painting-Dreamscape-No4/567268/3360117/view","Dreamscape No4","Kume Bryant","United States","12","12","190","190","9","Abstract","Acrylic","1483228800000"
"Split Horizon","https://www.saatchiart.com/art/Painting-Split-Horizon/936658/3279085/view","Split Horizon","Brian Wiggins","United States","12","9","235","1979","8","Abstract","Gouache","1451088000000"
"Silver Lining in the Blue","https://www.saatchiart.com/art/Painting-Silver-Lining-in-the-Blue/803785/3462247/view","Silver Lining in the Blue","Kelly Hutchinson","United States","18","24","140","86","11","Abstract","Acrylic","1483228800000"
"Enchanted purple","https://www.saatchiart.com/art/Painting-Enchanted-purple/730867/3047209/view","Enchanted purple","Bonnie Chan","Hong Kong","23","19","300","218","12","Abstract","Acrylic","1451606400000"
"blue green line face with orange dots","https://www.saatchiart.com/art/Painting-blue-green-line-face-with-orange-dots/99212/3096325/view","blue green line face with orange dots","Ezzaldin Shahrori","Turkey","19","13","240","382","10","Portrait","Watercolor","1451606400000"
"Verdant","https://www.saatchiart.com/art/Painting-Verdant/8619/3067335/view","Verdant","Lisa Carney","Canada","12","12","290","597","24","Abstract","Acrylic","1451606400000"
"Cafe Jardin","https://www.saatchiart.com/art/Painting-Cafe-Jardin/867774/3537836/view","Cafe Jardin","Shellie Garber","United States","24","18","310","38","3","Floral","Acrylic","1491868800000"
"Night","https://www.saatchiart.com/art/Painting-Night/830354/3197189/view","Night","Olga Kirichenko","Spain","19","24","240","390","18","Nature","Acrylic","1451606400000"
"Bamboo Trees","https://www.saatchiart.com/art/Painting-Bamboo-Trees/741785/2819921/view","Bamboo Trees","Artist TakingOver","United States","12","9","184","546","15","Nature","Watercolor","1454630400000"
"1018","https://www.saatchiart.com/art/Painting-1018/890209/3050403/view","1018","Tracy Schacht","United States","12","9","143","411","10","People","Oil","1451606400000"
"#43 of 100paintings project","https://www.saatchiart.com/art/Painting-43-of-100paintings-project/792144/2928183/view","#43 of 100paintings project","Elyce Abrams","United States","12","12","290","473","20","Abstract","Acrylic","1460505600000"
"Peony","https://www.saatchiart.com/art/Painting-Peony/771034/3068669/view","Peony","Marina Gorkaeva","Russia","16","11","290","308","7","Floral","Acrylic, Tempera","1451606400000"
"4252 Coming storm aproaching the docks","https://www.saatchiart.com/art/Painting-4252-Coming-storm-aproaching-the-docks/743547/3406564/view","4252 Coming storm aproaching the docks","Andres Vivo","Uruguay","5","7","135","130","6","Seascape","Oil","1483228800000"
"March Snow","https://www.saatchiart.com/art/Painting-March-Snow/425183/2792463/view","March Snow","Catherine Martzloff","United States","8","10","250","325","17","Nature","Oil","1420070400000"
"Flowers","https://www.saatchiart.com/art/Painting-Flowers/771034/3317206/view","Flowers","Marina Gorkaeva","Russia","16","11","290","250","5","Floral","Acrylic, Tempera","1451606400000"
"Letter 5","https://www.saatchiart.com/art/Painting-Letter-5/786228/2909360/view","Letter 5","Soyeun Park","South Korea","14","10","190","302","8","Nature","color ink on korean paper","1388534400000"
"Atlantic Puffin","https://www.saatchiart.com/art/Painting-Atlantic-Puffin/153937/3292675/view","Atlantic Puffin","Fran Giffard","United Kingdom","5","7","190","169","5","Animal","Gouache, Ink, Pencil, Watercolor","1451606400000"
"Pomegranates and tin cup","https://www.saatchiart.com/art/Painting-Pomegranates-and-tin-cup/757238/3390268/view","Pomegranates and tin cup","ANNE BAUDEQUIN","France","7","13","290","197","15","Still Life","Oil","1451606400000"
"Life in the Underworld 2","https://www.saatchiart.com/art/Painting-Life-in-the-Underworld-2/717091/3075695/view","Life in the Underworld 2","Anna Finkelstein","United Kingdom","10","9","135","276","19","Nature","Watercolor, Paper, Ink","1451606400000"
"Fashion Illustration XXIV","https://www.saatchiart.com/art/Painting-Fashion-Illustration-XXIV/511785/3546934/view","Fashion Illustration XXIV","Ute Rathmann","Germany","11","7","185","32","6","Fashion","Watercolor, Gouache, Graphite","1041379200000"
"ANHELO [1] ...#049","https://www.saatchiart.com/art/Painting-ANHELO-1-049/889733/3375937/view","ANHELO [1] ...#049","Romana Brunnauer","Spain","11","11","270","61","10","Abstract","Acrylic","1420070400000"
"Antonioni's Blow Up","https://www.saatchiart.com/art/Painting-Antonioni-s-Blow-Up/34352/2526038/view","Antonioni's Blow Up","Kevin Reay","Mexico","10","8","250","593","17","Abstract","Oil, Enamel","1420070400000"
"Elegy","https://www.saatchiart.com/art/Painting-Elegy/833929/3492351/view","Elegy","Elizabeth Becker","United States","10","8","175","53","7","Nature","Watercolor","1483228800000"
"Blue Alien Face","https://www.saatchiart.com/art/Painting-Blue-Alien-Face/648045/3507172/view","Blue Alien Face","Kisa Kisa","United Kingdom","17","13","230","39","1","Outer Space","Oil","1451606400000"
"Blue water","https://www.saatchiart.com/art/Painting-Blue-water/846161/2881421/view","Blue water","Cindy Estevez","United States","10","8","135","391","39","Water","Acrylic, Ink, Oil","1457913600000"
"Abstraction of Water","https://www.saatchiart.com/art/Painting-Abstraction-of-Water/924347/3242317/view","Abstraction of Water","Rose Marie Abstracts","United States","11","14","165","350","22","Abstract","Oil","1451606400000"
"Plenilunium","https://www.saatchiart.com/art/Painting-Plenilunium/475177/2653731/view","Plenilunium","Teresa Fieltrovitz","Spain","13","10","160","794","23","Botanic","Ink, Watercolor","1444003200000"
"untitled landscape","https://www.saatchiart.com/art/Painting-untitled-landscape/481815/2810594/view","untitled landscape","Konrad Biro","","6","9","135","1126","41","Landscape","Watercolor","1454198400000"
"Vase of Roses, Original oil painting in handmade, Signed","https://www.saatchiart.com/art/Painting-Vase-of-Roses-Original-oil-painting-in-handmade-Signed/503607/3464536/view","Vase of Roses, Original oil painting in handmade, Signed","Vahe Yeremyan","United States","10","10","189","231","9","Floral","Oil","1483228800000"
"Day and Night","https://www.saatchiart.com/art/Painting-Day-and-Night/700924/2054147/view","Day and Night","Wolfgang Alt","Germany","7","7","200","1954","71","Nature","Oil","1388534400000"
"Longing to Belong","https://www.saatchiart.com/art/Painting-Longing-to-Belong/342989/2750779/view","Longing to Belong","Michelle Daisley Moffitt","United States","12","12","270","819","31","Abstract","Acrylic, Paper, Wood","1420070400000"
"Eddie","https://www.saatchiart.com/art/Painting-Eddie/857122/3239193/view","Eddie","Wes Karchut","United States","12","8","135","288","16","Women","Watercolor","1451606400000"
"Punta del este-Uruguay  Nº 3977","https://www.saatchiart.com/art/Painting-Punta-del-este-Uruguay-N-3977/743547/2732450/view","Punta del este-Uruguay  Nº 3977","Andres Vivo","Uruguay","7","9","185","644","22","Seascape","Oil","1420070400000"
"design3","https://www.saatchiart.com/art/Painting-design3/798571/2917617/view","design3","Ron Halfant","United States","20","16","280","344","15","Abstract","Acrylic","1451606400000"
"March Thaw","https://www.saatchiart.com/art/Painting-March-Thaw/693154/3431869/view","March Thaw","Kerri Blackman","United States","12","12","135","170","16","Abstract","Acrylic, Pastel, Pencil","1483228800000"
"A trip II","https://www.saatchiart.com/art/Painting-A-trip-II/879674/3514395/view","A trip II","Miloš Hronec","Slovakia","17","13","225","36","3","Portrait","Acrylic, Oil, Spray Paint, New Media","1483228800000"
"Sun stones","https://www.saatchiart.com/art/Painting-Sun-stones/805252/2828690/view","Sun stones","Tamta Dolidze","Georgia","9","12","135","425","14","Abstract","Watercolor","1454889600000"
"Mujer con abanico II","https://www.saatchiart.com/art/Painting-Mujer-con-abanico-II/648249/3266965/view","Mujer con abanico II","willy L'Eplattenier","Spain","7","7","140","190","11","Abstract","Oil","1451606400000"
"Winter forest....","https://www.saatchiart.com/art/Painting-Winter-forest/481815/3359951/view","Winter forest....","Konrad Biro","","9","7","210","228","9","Landscape","Oil","1483228800000"
"#58 of 100paintings project","https://www.saatchiart.com/art/Painting-58-of-100paintings-project/792144/3002179/view","#58 of 100paintings project","Elyce Abrams","United States","12","12","290","405","25","Abstract","Acrylic, Spray Paint","1451606400000"
"Early bird","https://www.saatchiart.com/art/Painting-Early-bird/870783/2953586/view","Early bird","Ulugbek Doschanov","Russia","8","4","145","305","20","Abstract","Oil","1451606400000"
"Natura Morta One, Homage to Giorgio Morandi","https://www.saatchiart.com/art/Painting-Natura-Morta-One-Homage-to-Giorgio-Morandi/705173/3450702/view","Natura Morta One, Homage to Giorgio Morandi","Garry McMichael","United States","11","14","295","51","5","Still Life","Oil","1483228800000"
"design10 open cliff","https://www.saatchiart.com/art/Painting-design10-open-cliff/798571/2860628/view","design10 open cliff","Ron Halfant","United States","20","16","259","404","22","Abstract","Acrylic","1451606400000"
"Follow the green","https://www.saatchiart.com/art/Painting-Follow-the-green/715399/3438436/view","Follow the green","Izabella Hornung","United Kingdom","10","5","170","165","16","Botanic","Acrylic, Ink, Watercolor, Pencil","1483228800000"
"Finding a Way I","https://www.saatchiart.com/art/Painting-Finding-a-Way-I/717715/2803693/view","Finding a Way I","Marsha Boston","United States","10","10","225","817","26","Botanic","Watercolor, Ink","1451606400000"
"Girl with  book","https://www.saatchiart.com/art/Painting-Girl-with-book/952705/3512283/view","Girl with  book","Diana Rutetska","Ukraine","19","19","160","16","1","People","Oil","1356998400000"
"My plant","https://www.saatchiart.com/art/Painting-My-plant/771034/3081574/view","My plant","Marina Gorkaeva","Russia","11","15","290","243","10","Botanic","Acrylic, Tempera","1451606400000"
"Not a breath of wind","https://www.saatchiart.com/art/Painting-Not-a-breath-of-wind/870742/3478595/view","Not a breath of wind","Karen McKenzie  Williams","Australia","12","14","295","45","4","Abstract","Acrylic, Spray Paint, Enamel, Household, Chalk","1483228800000"
"the leftovers","https://www.saatchiart.com/art/Painting-the-leftovers/396480/2212924/view","the leftovers","Marton Bende","Hungary","23","35","390","2090","26","People","Oil, Spray Paint","1414800000000"
"Strait Lines","https://www.saatchiart.com/art/Painting-Strait-Lines/947646/3480074/view","Strait Lines","Jodie Sutton","United States","10","10","200","70","2","Abstract","Encaustic","1451606400000"
"Storm Coming","https://www.saatchiart.com/art/Painting-Storm-Coming/445706/2869917/view","Storm Coming","Deborah Wage","United States","8","6","210","736","30","Landscape","Oil","1454371200000"
"10 Evergreen Avenue","https://www.saatchiart.com/art/Painting-10-Evergreen-Avenue/545434/2748147/view","10 Evergreen Avenue","Brian Lacey","United States","12","12","310","404","26","Geometric","Acrylic, Oil, Household, Spray Paint","1424131200000"
"Over the Moon","https://www.saatchiart.com/art/Painting-Over-the-Moon/424908/3349826/view","Over the Moon","Beata Belanszky-Demko","Hungary","9","9","220","174","16","Abstract","Oil","1451606400000"
"Returning Rains","https://www.saatchiart.com/art/Painting-Returning-Rains/867774/3458966/view","Returning Rains","Shellie Garber","United States","14","11","190","199","8","Abstract","Acrylic","1488326400000"
"Introspectus #10","https://www.saatchiart.com/art/Painting-Introspectus-10/313699/2530620/view","Introspectus #10","Frederic Belaubre","France","16","11","225","1137","12","Portrait","Acrylic","1434499200000"
"The Self with Monarchs X","https://www.saatchiart.com/art/Painting-The-Self-with-Monarchs-X/743322/2698384/view","The Self with Monarchs X","Josh MG Yates","United States","5","5","210","1219","27","Animal","Acrylic, Digital, Glass, Paint, Color","1420070400000"
"Book 12 #5","https://www.saatchiart.com/art/Painting-Book-12-5/599547/2626437/view","Book 12 #5","Heather Goodwind","United States","8","5","290","1120","40","Abstract","Acrylic, Graphite","1327968000000"
"Pear. Small painting. Still life","https://www.saatchiart.com/art/Painting-Pear-Small-painting-Still-life/770124/3411413/view","Pear. Small painting. Still life","Vita Schagen","Netherlands","5","3","135","111","14","Food & Drink","Oil","1451606400000"
"face","https://www.saatchiart.com/art/Painting-face/335494/2664815/view","face","SANTHOSH C H","India","12","9","260","960","20","Men","Ink, Watercolor","1312156800000"
"If I knew...","https://www.saatchiart.com/art/Painting-If-I-knew/745677/3132404/view","If I knew...","Toni Popov","Macedonia","7","9","245","208","10","Still Life","Acrylic","1451606400000"
"The Lake Side Hotel","https://www.saatchiart.com/art/Painting-The-Lake-Side-Hotel/397624/1479663/view","The Lake Side Hotel","Clement Tsang","Hong Kong","20","16","260","1064","28","Places","oil","1420070400000"
"Twist","https://www.saatchiart.com/art/Painting-Twist/895405/3155749/view","Twist","Jen Goss","France","11","15","290","203","11","Nude","Watercolor","1420070400000"
"Province, Landscape oil painting, original art, Artist: Karen Darbinyan","https://www.saatchiart.com/art/Painting-Province-Landscape-oil-painting-original-art-Artist-Karen-Darbinyan/889704/3329904/view","Province, Landscape oil painting, original art, Artist: Karen Darbinyan","Vayer Art","United States","14","11","265","267","8","Landscape","Oil","1451606400000"
"Succulent Skipper","https://www.saatchiart.com/art/Painting-Succulent-Skipper/342358/3197422/view","Succulent Skipper","Autumn Rose","United States","12","12","199","452","30","Still Life","Acrylic, Watercolor, Pencil","1451606400000"
"Book 6 #21","https://www.saatchiart.com/art/Painting-Book-6-21/599547/2423356/view","Book 6 #21","Heather Goodwind","United States","8","5","290","1504","32","Food & Drink","Acrylic, Ink","1120176000000"
"brief encounter","https://www.saatchiart.com/art/Painting-brief-encounter/795658/2518463/view","brief encounter","Milana Gapiienko","Ukraine","12","12","235","418","13","Children","Acrylic","1431475200000"
"Activate","https://www.saatchiart.com/art/Painting-Activate/841066/3533176/view","Activate","laura gee","United Kingdom","30","24","377","32","4","Nature","Acrylic, Pastel, Pencil","1483228800000"
"Broken Code","https://www.saatchiart.com/art/Painting-Broken-Code/795346/2963851/view","Broken Code","jelena b","United States","12","12","190","894","36","Abstract","Watercolor, Oil","1451606400000"
"Gerber I","https://www.saatchiart.com/art/Painting-Gerber-I/18159/2785804/view","Gerber I","Marisa Mary Myrah","Canada","6","6","290","497","18","Floral","Oil","1420070400000"
"Bailaora","https://www.saatchiart.com/art/Painting-Bailaora/885811/3012677/view","Bailaora","Charlotte Moore","United Kingdom","15","11","215","173","15","Performing Arts","Acrylic","1451606400000"
"room","https://www.saatchiart.com/art/Painting-room/662414/2973566/view","room","Xingzi Gu","United States","24","30","240","899","43","People","Oil","1451606400000"
"#65 of 100paintings project","https://www.saatchiart.com/art/Painting-65-of-100paintings-project/792144/3049916/view","#65 of 100paintings project","Elyce Abrams","United States","12","12","290","310","7","Abstract","Acrylic","1451606400000"
"Copper Red Texture","https://www.saatchiart.com/art/Painting-Copper-Red-Texture/885026/3315088/view","Copper Red Texture","Artur Pashkov","United States","20","16","210","366","5","Abstract","Acrylic","1451606400000"
"Learning to walk","https://www.saatchiart.com/art/Painting-Learning-to-walk/690842/2734809/view","Learning to walk","Marcel Garbi","United Kingdom","19","13","255","679","16","Children","Ink, Watercolor","1449446400000"
"Renovation","https://www.saatchiart.com/art/Painting-Renovation/879674/3400071/view","Renovation","Miloš Hronec","Slovakia","17","13","215","164","11","People","Acrylic","1483228800000"
"19mm x 50m 19","https://www.saatchiart.com/art/Painting-19mm-x-50m-19/126029/2060670/view","19mm x 50m 19","Dragomir Misina","United Kingdom","4","4","190","1579","17","Abstract","Acrylic","1401580800000"
"Voyeur","https://www.saatchiart.com/art/Painting-Voyeur/343864/2508779/view","Voyeur","David Holcomb","United States","16","12","255","1045","13","Culture","Acrylic","1434240000000"
"Vertical I.","https://www.saatchiart.com/art/Painting-Vertical-I/880569/3245138/view","Vertical I.","Sejben Lajos","Hungary","8","12","295","205","6","Abstract","Oil","1451606400000"
"Amaryllis","https://www.saatchiart.com/art/Painting-Amaryllis/857122/3426294/view","Amaryllis","Wes Karchut","United States","11","9","135","62","6","Floral","Watercolor","1483228800000"
"La Danse de la réalité","https://www.saatchiart.com/art/Painting-La-Danse-de-la-r-alit/397349/2657526/view","La Danse de la réalité","Nuria Baena","Spain","7","10","290","440","7","Cinema","Acrylic","1376524800000"
"Dangerous Building two","https://www.saatchiart.com/art/Painting-Dangerous-Building-two/10411/2235679/view","Dangerous Building two","Simon Hopkinson","United Kingdom","19","23","290","1677","17","Landscape","Acrylic","1199145600000"
"Hooter the Dog","https://www.saatchiart.com/art/Painting-Hooter-the-Dog/877065/3457578/view","Hooter the Dog","Andy Shaw","United Kingdom","7","7","295","432","26","Dogs","Acrylic","1483228800000"
"Onion III","https://www.saatchiart.com/art/Painting-Onion-III/870136/3108193/view","Onion III","Joy Nguyen","United States","5","7","135","138","6","Food","Oil","1451606400000"
"beach and trees","https://www.saatchiart.com/art/Painting-beach-and-trees/402284/3294087/view","beach and trees","Dorota Wójcik","Poland","8","11","215","192","9","Landscape","Watercolor","1451606400000"
"Second Glance","https://www.saatchiart.com/art/Painting-Second-Glance/494785/2583482/view","Second Glance","Richard Cutshall","United States","11","8","290","357","14","Mortality","Acrylic, Chrcoal, ink, graphite, watercolor","1420070400000"
"Master Copy portrait  after  sargent","https://www.saatchiart.com/art/Painting-Master-Copy-portrait-after-sargent/766307/3134636/view","Master Copy portrait  after  sargent","Emanuele Fittipaldi","Italy","23","19","340","302","12","Portrait","Oil","1451606400000"
"#13 of 100 paintings project","https://www.saatchiart.com/art/Painting-13-of-100-paintings-project/792144/2807750/view","#13 of 100 paintings project","Elyce Abrams","United States","12","12","295","970","25","Abstract","Acrylic, Spray Paint","1451606400000"
"White garden in blossom","https://www.saatchiart.com/art/Painting-White-garden-in-blossom/781213/3124417/view","White garden in blossom","Irina Afonskaya","Bulgaria","7","11","200","142","1","Garden","Oil, Acrylic","1451606400000"
"Sunflower","https://www.saatchiart.com/art/Painting-Sunflower/771034/3138429/view","Sunflower","Marina Gorkaeva","Russia","16","11","290","254","10","Floral","Acrylic, Tempera","1451606400000"
"The sea touching the coast","https://www.saatchiart.com/art/Painting-The-sea-touching-the-coast/56712/1867626/view","The sea touching the coast","Nelly van Nieuwenhuijzen","Netherlands","11","11","245","1944","25","Seascape","Acrylic","1388534400000"
"landscape with garbage","https://www.saatchiart.com/art/Painting-landscape-with-garbage/46606/2687626/view","landscape with garbage","Federico Cortese","Italy","10","13","260","1278","10","Landscape","Oil, graphite","1420070400000"
"Reaching","https://www.saatchiart.com/art/Painting-Reaching/841947/2805008/view","Reaching","Tammy Silbermann","Canada","14","11","240","676","12","Botanic","Oil","1451606400000"
"Purry Dreams","https://www.saatchiart.com/art/Painting-Purry-Dreams/774244/3377420/view","Purry Dreams","krista may","United States","16","20","325","132","2","Cats","Acrylic","1483228800000"
"#52 of 100paintings project","https://www.saatchiart.com/art/Painting-52-of-100paintings-project/792144/2969170/view","#52 of 100paintings project","Elyce Abrams","United States","12","12","290","502","16","Abstract","Acrylic","1462924800000"
"Daniel, Patron Saint of Wayward Mariners, Limited Edition of 250","https://www.saatchiart.com/art/Painting-Daniel-Patron-Saint-of-Wayward-Mariners-Limited-Edition-of-250/671404/3105300/view","Daniel, Patron Saint of Wayward Mariners, Limited Edition of 250","Paul Bond","United States","20","20","280","308","8","Fantasy","Giclee","1420070400000"
"Abstract #5690. Hand print, yellow Galaxy","https://www.saatchiart.com/art/Painting-Abstract-5690-Hand-print-yellow-Galaxy/661122/2579899/view","Abstract #5690. Hand print, yellow Galaxy","Andrey Bogoslowsky","United States","10","8","200","1057","18","Abstract","Acrylic","1438732800000"
"Footbridge five","https://www.saatchiart.com/art/Painting-Footbridge-five/10411/2273928/view","Footbridge five","Simon Hopkinson","United Kingdom","9","13","290","1702","14","Landscape","Acrylic","1388534400000"
"Birds XLIV","https://www.saatchiart.com/art/Painting-Birds-XLIV/716816/3543639/view","Birds XLIV","Maria Iciak","Poland","9","12","250","20","0","Animal","Watercolor","1483228800000"
"Salish Sky","https://www.saatchiart.com/art/Painting-Salish-Sky/726541/2241825/view","Salish Sky","J R Thacker","","16","20","210","220","6","Landscape","Acrylic, Gesso, Plaster","1288569600000"
"Where I'm Headed No. 1","https://www.saatchiart.com/art/Painting-Where-I-m-Headed-No-1/672415/3195315/view","Where I'm Headed No. 1","Melanie Biehle","United States","12","9","265","377","5","Abstract","Oil","1451606400000"
"201016 abstract bird series","https://www.saatchiart.com/art/Painting-201016-abstract-bird-series/481815/3232469/view","201016 abstract bird series","Konrad Biro","","11","7","290","362","21","Animal","Oil","1451606400000"
"garden","https://www.saatchiart.com/art/Painting-garden/810444/3336279/view","garden","Vika Kokhanenko","Ukraine","15","19","310","432","5","Landscape","Oil","1451606400000"
"Heaven and Earth","https://www.saatchiart.com/art/Painting-Heaven-and-Earth/481815/3481107/view","Heaven and Earth","Konrad Biro","","9","7","205","152","10","Landscape","Oil","1483228800000"
"Lucent","https://www.saatchiart.com/art/Painting-Lucent/833929/3494245/view","Lucent","Elizabeth Becker","United States","10","8","295","41","2","Portrait","Watercolor","1483228800000"
"scinegue #4","https://www.saatchiart.com/art/Painting-scinegue-4/712901/2400435/view","scinegue #4","Joshua Evans-Hooper","United Kingdom","15","11","295","1803","18","Portrait","Acrylic","1420070400000"
"Nighttime Dream Catchers (2016)","https://www.saatchiart.com/art/Painting-Nighttime-Dream-Catchers-2016/668451/3386588/view","Nighttime Dream Catchers (2016)","MaryAnn Loo","Singapore","8","8","170","98","6","Fantasy","Acrylic, Watercolor, Ink, Watercolor Paper","1451606400000"
"A little house","https://www.saatchiart.com/art/Painting-A-little-house/488423/3109723/view","A little house","Linda Lin","United States","14","11","190","155","6","Landscape","Oil","1451606400000"
"Variations on Figure - 1","https://www.saatchiart.com/art/Painting-Variations-on-Figure-1/348464/3363920/view","Variations on Figure - 1","Isil Gulecyuz","Turkey","9","9","290","365","19","People","Acrylic, Oil, Spray Paint, Metal","1451606400000"
"Wroble","https://www.saatchiart.com/art/Painting-Wroble/403087/2970350/view","Wroble","Katarzyna Litwin","Netherlands","7","7","135","302","15","Animal","Oil","1451606400000"
"Continuity","https://www.saatchiart.com/art/Painting-Continuity/821111/2983795/view","Continuity","Arohika Verma","Canada","8","10","260","478","15","Abstract","Acrylic, Ink","1451606400000"
"Moon I","https://www.saatchiart.com/art/Painting-Moon-I/403087/3194556/view","Moon I","Katarzyna Litwin","Netherlands","9","11","225","253","18","People","Gouache, Watercolor","1451606400000"
"Terra series2","https://www.saatchiart.com/art/Painting-Terra-series2/481815/2215291/view","Terra series2","Konrad Biro","","11","8","135","854","21","Abstract","Watercolor","1414972800000"
"Winter Light I","https://www.saatchiart.com/art/Painting-Winter-Light-I/969352/3445316/view","Winter Light I","Lisa Miller","United States","20","16","180","39","3","Abstract","Acrylic, Graphite","1483228800000"
"Sweet Jane","https://www.saatchiart.com/art/Painting-Sweet-Jane/314982/2460557/view","Sweet Jane","Fiona Maclean","Australia","11","8","270","2104","43","Fashion","Acrylic, Gouache","1420070400000"
"Rockpool","https://www.saatchiart.com/art/Painting-Rockpool/336704/3487430/view","Rockpool","Yolanda Cottrell","United Kingdom","19","27","300","46","8","Nature","Acrylic","1483228800000"
"Lemons","https://www.saatchiart.com/art/Painting-Lemons/908221/3207486/view","Lemons","Katarina Vicenova","United States","8","10","135","99","8","Still Life","Oil","1451606400000"
"Vivienne Westwood the Scottish Terrier","https://www.saatchiart.com/art/Painting-Vivienne-Westwood-the-Scottish-Terrier/877065/3447742/view","Vivienne Westwood the Scottish Terrier","Andy Shaw","United Kingdom","7","7","295","370","12","Dogs","Acrylic","1483228800000"
"Landscape with moon","https://www.saatchiart.com/art/Painting-Landscape-with-moon/788456/2516556/view","Landscape with moon","Tiago Barzana","","11","7","290","808","24","Nature","Oil","1431216000000"
"Rose Trellis","https://www.saatchiart.com/art/Painting-Rose-Trellis/867774/3507979/view","Rose Trellis","Shellie Garber","United States","14","11","190","96","9","Abstract","Acrylic","1490572800000"
"Women Marching","https://www.saatchiart.com/art/Painting-Women-Marching/867774/3384432/view","Women Marching","Shellie Garber","United States","24","18","250","270","5","Abstract","Acrylic","1484956800000"
"Self Portrait","https://www.saatchiart.com/art/Painting-Self-Portrait/563218/1868606/view","Self Portrait","Tania Alvarez","United States","10","10","295","813","31","Portrait","Acrylic, Oil Crayon, Pencil, Paper, Collage","1262304000000"
"Silos del Paraná  Nº 3976","https://www.saatchiart.com/art/Painting-Silos-del-Paran-N-3976/743547/2732440/view","Silos del Paraná  Nº 3976","Andres Vivo","Uruguay","7","9","185","942","23","Sailboat","Oil","1420070400000"
"1016","https://www.saatchiart.com/art/Painting-1016/890209/3050600/view","1016","Tracy Schacht","United States","12","9","143","426","10","People","Oil","1451606400000"
"Pot Plant and Candle Holder.","https://www.saatchiart.com/art/Painting-Pot-Plant-and-Candle-Holder/421610/2975160/view","Pot Plant and Candle Holder.","stef wigg","United Kingdom","12","12","295","171","10","Still Life","Oil","1451606400000"
"Untitled","https://www.saatchiart.com/art/Painting-Untitled/560695/2700155/view","Untitled","Jon Cooper","Canada","15","11","240","1098","43","Portrait","Watercolor, Pencil","1446422400000"
